Name,WMC,TCC,LOCC,NBM,GOD LASS,CBO,ATFD,NOAP,NOA,NOM,FDP,CM,CC,NOAM,AMW,Brainlass
CSSLexicalUnit,38,0.02,419,0,0,7,0,0,24,20,0,0,0,5,1.9,0
AbstractElementSelector,3,0,35,0,0,0,0,0,2,3,0,0,0,2,1,0
AbstractDescendantSelector,3,0,36,0,0,0,0,0,2,3,0,0,0,2,1,0
AbstractCombinatorCondition,3,0,35,0,0,0,0,0,2,3,0,0,0,2,1,0
AbstractAttributeCondition,2,1,22,0,0,0,0,0,1,2,0,0,0,1,1,0
ExtendedParser,0,0,82,0,0,0,0,0,0,6,0,10,1,0,0,0
WordSpacingManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
StrokeOpacityManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
StrokeManager,1,0,5,0,0,2,0,0,0,1,0,0,0,0,1,0
StopOpacityManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
StopColorManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
DefaultOpacityManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
MarkerStartManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
MarkerMidManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
MarkerEndManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
LightingColorManager,1,0,5,0,0,2,0,0,0,1,0,0,0,0,1,0
LetterSpacingManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
FloodOpacityManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
FloodColorManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
FillOpacityManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
FillManager,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0
PropertyManagerTest,11,0,295,1,0,4,0,0,9,3,0,0,0,0,3.67,0
URIValue,2,1,19,0,0,0,0,1,1,2,0,0,0,1,1,0
ValueConstants,0,0,1052,0,0,0,0,0,156,0,0,0,0,0,0,0
StringValue,13,0.33,81,0,0,0,0,0,2,7,0,0,0,2,1.86,0
RGBColorValue,7,0.2,71,0,0,0,0,0,3,7,0,0,0,4,1,0
Messages,4,1,43,0,0,1,1,0,2,4,1,0,0,0,1,0
InheritValue,4,0,33,0,0,0,0,0,1,4,0,0,0,2,1,0
LengthManager,27,0.5,187,1,0,5,2,0,4,4,1,0,0,0,6.75,0
RectManager,33,0.1,143,0,0,6,4,0,1,5,1,0,0,1,6.6,0
AbstractValueManager,5,0,41,0,0,2,0,0,0,3,0,0,0,0,1.67,0
AbstractValueFactory,8,0.19,72,0,0,2,0,0,0,9,0,0,0,0,0.89,0
AbstractValue,17,0,123,0,0,1,0,0,0,17,0,10,0,1,1,0
StringMap,17,1,147,0,0,1,4,0,3,5,1,44,9,0,3.4,0
IdentifierManager,7,0,47,0,0,2,0,0,0,3,0,1,1,0,2.33,0
AbstractColorManager,13,0.07,224,0,0,7,1,0,2,6,1,0,0,1,2.17,0
ComputedValue,21,0.9,160,0,0,0,0,0,2,21,0,4,2,3,1,0
PropertyHandler,0,1,4,0,0,0,0,0,0,1,0,6,4,0,0,0
FloatValue,9,0.2,70,0,0,0,0,0,3,6,0,4,4,2,1.5,0
ListValue,12,0.29,92,0,0,0,0,0,3,9,0,19,11,3,1.33,0
Value,0,0,133,0,0,0,0,0,0,17,0,199,58,0,0,0
ShorthandManager,0,0,39,0,0,0,0,0,0,4,0,9,8,0,0,0
ValueManager,0,0,77,0,0,0,0,0,0,10,0,20,12,0,0,0
XMLSupport,19,0.17,100,0,0,0,0,0,0,5,0,0,0,0,3.8,0
XLinkSupport,23,1,117,0,0,0,0,0,0,14,0,0,0,0,1.64,0
SAXIOException,3,1,12,0,0,0,0,0,1,3,0,0,0,2,1,0
TextInfo,2,1,9,0,0,0,0,1,1,2,0,0,0,0,1,0
CDataInfo,2,1,9,0,0,0,0,1,1,2,0,0,0,0,1,0
CommentInfo,2,1,9,0,0,0,0,1,1,2,0,0,0,0,1,0
ProcessingInstructionInfo,2,1,10,0,0,0,0,2,2,2,0,0,0,0,1,0
PreInfo,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0
ListNodeList,5,1,23,0,0,0,0,0,1,3,0,0,0,0,1.67,0
HashTableStack,11,1,91,0,0,1,5,0,1,5,1,4,1,0,2.2,0
NSMap,15,0.47,111,0,0,1,0,0,4,7,0,1,1,0,2.14,0
DocumentFactory,0,0,64,0,0,0,0,0,0,7,0,13,11,0,0,0
IntTable,57,0.72,262,0,0,0,0,0,3,12,0,4,1,0,4.75,0
TriplyIndexedTable,19,0.4,185,0,0,0,0,0,3,7,0,2,1,0,2.71,0
DocumentDescriptor,22,0.8,187,0,0,1,4,0,3,7,1,3,3,1,3.14,0
CSSStyleDeclarationFactory,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0
SAXDocumentFactory,81,0.13,759,1,0,10,0,1,21,34,0,6,6,5,2.38,0
TransformListParserTest,3,1,146,0,0,4,1,0,4,2,1,0,0,0,1.5,0
PathParserTest,3,1,246,0,0,4,1,0,4,2,1,0,0,0,1.5,0
PathParserFailureTest,2,1,26,0,0,3,0,0,1,2,0,0,0,0,1,0
TestHandler,13,1,51,0,0,1,2,0,0,13,1,0,0,0,1,0
LengthParserTest,3,1,96,0,0,5,1,0,4,2,1,0,0,0,1.5,0
LengthParserFailureTest,2,1,26,0,0,3,0,0,1,2,0,0,0,0,1,0
TimingSpecifierParser,16,0.5,102,0,0,2,0,0,1,5,0,0,0,2,3.2,0
DefaultTransformListHandler,12,0,82,0,0,0,0,0,1,12,0,0,0,0,1,0
TimingSpecifierListHandler,0,0,12,0,0,0,0,0,0,2,0,1,1,0,0,0
TimingSpecifierHandler,0,0,54,0,0,0,0,0,0,10,0,1,1,0,0,0
DefaultTimingSpecifierHandler,11,0,73,0,0,0,0,0,1,11,0,0,0,0,1,0
PreserveAspectRatioHandler,0,0,99,0,0,0,0,0,0,14,0,2,2,0,0,0
DefaultPointsHandler,4,0,31,0,0,0,0,0,1,4,0,0,0,0,1,0
DefaultPathHandler,22,0,164,0,0,0,0,0,1,22,0,0,0,0,1,0
NumberListHandler,0,0,37,0,0,0,0,0,0,5,0,1,1,0,0,0
DefaultLengthListHandler,3,0,27,0,0,0,0,0,1,3,0,0,0,0,1,0
DefaultFragmentIdentifierHandler,20,0,152,0,0,0,0,0,1,20,0,0,0,0,1,0
DefaultErrorHandler,1,1,10,0,0,0,0,0,0,1,0,0,0,0,1,0
DefaultAngleHandler,7,0,49,0,0,0,0,0,1,7,0,0,0,0,1,0
TransformListParser,65,0.94,458,0,0,3,0,0,1,10,0,4,3,2,6.5,0
TransformListHandler,0,0,90,0,0,0,0,0,0,11,0,12,2,0,0,0
PointsHandler,0,0,25,0,0,0,0,0,0,3,0,1,1,0,0,0
ShapeProducer,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0
PathHandler,0,0,234,0,0,0,0,0,0,21,0,20,2,0,0,0
NumberParser,41,0,218,1,0,0,0,0,1,2,0,0,0,0,20.5,0
ErrorHandler,0,1,6,0,0,0,0,0,0,1,0,7,4,0,0,0
Parser,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0
AbstractParser,19,0.2,231,0,0,6,1,0,5,16,1,41,35,3,1.19,0
FragmentIdentifierHandler,0,0,69,0,0,0,0,0,0,8,0,2,1,0,0,0
AWTTransformProducer,14,0.6,130,0,0,2,1,0,1,15,1,1,1,1,0.93,0
AWTPolylineProducer,8,0.29,83,0,0,2,1,0,3,8,1,2,2,3,1,0
AWTPolygonProducer,2,0,26,0,0,2,1,0,0,3,1,1,1,0,0.67,0
PointsParser,6,1,65,0,0,2,0,0,2,4,0,4,4,2,1.5,0
FloatArrayProducer,8,0.29,102,0,0,0,0,0,4,7,0,3,3,1,1.14,0
DefaultLengthHandler,13,0,84,0,0,0,0,0,1,13,0,0,0,0,1,0
LengthHandler,0,0,85,0,0,0,0,0,0,12,0,4,3,0,0,0
DefaultPreserveAspectRatioHandler,15,0,99,0,0,0,0,0,1,15,0,0,0,0,1,0
PreserveAspectRatioParser,53,0.6,332,0,0,2,0,0,1,6,0,5,3,2,8.83,0
LengthArrayProducer,20,0.5,198,0,0,0,0,0,7,18,0,2,2,2,1.11,0
LengthPairListParser,4,1,36,0,0,2,0,0,0,2,0,0,0,0,2,0
PathParser,113,0.97,704,0,0,3,0,0,1,27,0,8,8,2,4.19,0
AWTPathProducer,25,0.71,272,0,0,3,1,0,6,26,1,4,4,3,0.96,0
AngleParser,16,1,113,0,0,1,0,0,1,4,0,2,2,2,4,0
AngleHandler,0,0,37,0,0,0,0,0,0,6,0,1,1,0,0,0
AbstractScanner,18,0.22,198,0,0,4,0,0,9,16,0,1,1,4,1.12,0
TimingSpecifierListParser,9,1,67,0,0,2,0,0,0,4,0,1,1,2,2.25,0
DefaultTimingSpecifierListHandler,3,0,25,0,0,0,0,0,1,3,0,0,0,0,1,0
ClockHandler,0,1,7,0,0,0,0,0,0,1,0,1,1,0,0,0
ClockParser,7,1,49,0,0,1,0,0,2,4,0,3,3,2,1.75,0
DefaultNumberListHandler,6,0,44,0,0,0,0,0,1,6,0,0,0,0,1,0
NumberListParser,6,1,60,0,0,2,0,0,1,4,0,4,4,2,1.5,0
PathArrayProducer,33,0.04,342,0,0,0,0,0,8,26,0,2,2,2,1.27,0
LengthListHandler,0,0,15,0,0,0,0,0,0,2,0,2,2,0,0,0
LengthListParser,6,1,56,0,0,3,0,0,0,4,0,3,3,2,1.5,0
UnitResolver,12,0.55,94,0,0,0,0,2,2,13,0,0,0,0,0.92,0
LengthParser,57,1,326,1,0,3,0,0,1,5,0,5,4,2,11.4,0
Context,0,0,39,0,0,0,0,0,0,7,0,12,2,0,0,0
UnitProcessor,37,0.09,423,0,0,4,3,0,4,12,2,0,0,0,3.08,0
SAXSVGDocumentFactory,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0
ImportNodeTest,6,1,61,0,0,4,0,0,2,2,0,0,0,0,3,0
EcmaScriptSVGDOMTest,1,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0
CloneNodeTest,6,1,54,0,0,3,0,0,2,2,0,0,0,0,3,0
SVGZoomAndPanSupport,6,1,41,0,0,1,0,0,0,3,0,0,0,0,2,0
SVGTestsSupport,5,0,40,0,0,0,0,0,0,5,0,0,0,0,1,0
SVGOMException,1,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0
SVGAnimatedPathDataSupport,21,1,136,1,0,1,0,0,0,1,0,0,0,0,21,0
TraitAccess,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0.71,35,0,0,2,2,0,0,7,1,0,0,1,1,0
TransformListBuilder,12,1,113,0,0,2,0,0,1,12,0,0,0,0,1,0
SVGOMMatrix,2,1,21,0,0,0,0,0,1,2,0,0,0,1,1,0
PreserveAspectRatioParserHandler,14,0.64,122,0,0,0,0,2,2,15,0,1,1,2,0.93,0
PointsListBuilder,4,1,36,0,0,2,0,0,1,4,0,0,0,0,1,0
PathSegListBuilder,22,1,204,0,0,11,0,0,1,22,0,0,0,0,1,0
NumberListBuilder,6,0.6,54,0,0,2,0,0,2,6,0,0,0,0,1,0
AbstractSVGNumber,2,1,21,0,0,0,0,0,1,2,0,1,1,2,1,0
SVGPathSegGenericItem,4,0,31,0,0,0,0,0,0,4,0,5,1,1,1,0
NormalizedPathSegListBuilder,31,0.86,256,0,0,7,12,0,2,22,2,0,0,0,1.41,0
AbstractSVGItem,7,0.4,61,0,0,1,0,0,2,6,0,0,0,2,1.17,0
SVGAnimationContext,0,0,36,0,0,0,0,0,0,5,0,5,1,0,0,0
AbstractSVGTransform,13,0.48,154,0,0,0,0,0,5,14,0,19,4,5,0.93,0
SVGOMPoint,8,0.13,73,0,0,0,0,0,2,8,0,0,0,4,1,0
SVGTextContent,0,0,119,0,0,0,0,0,0,9,0,9,1,0,0,0
SVGPathContext,0,0,18,0,0,0,0,0,0,3,0,4,1,0,0,0
SVGOMUseShadowRoot,13,0,111,0,0,1,0,0,2,13,0,1,1,4,1,0
SVGOMTransform,2,1,44,0,0,1,0,0,0,2,0,0,0,0,1,0
SVGSVGContext,0,0,79,0,0,0,0,0,0,14,0,14,1,0,0,0
SVGPathSegConstants,0,0,85,0,0,0,0,0,20,0,0,0,0,0,0,0
ExtendedTraitAccess,0,0,54,0,0,0,0,0,0,10,0,0,0,0,0,0
IdContainer,0,1,7,0,0,0,0,0,0,1,0,1,1,0,0,0
SVGTransformItem,41,0.07,305,0,0,3,0,0,4,19,0,17,3,2,2.16,0
AbstractSVGTransformList,18,0.01,579,0,0,7,2,0,1,14,2,1,1,1,1.29,0
AbstractSVGPreserveAspectRatio,19,0.4,262,0,0,3,3,0,4,11,2,1,1,2,1.73,0
SVGPointItem,7,0.4,66,0,0,1,0,0,2,7,0,1,1,2,1,0
AbstractSVGPointList,11,0,146,0,0,4,1,0,1,11,1,0,0,1,1,0
SVGPathSegLinetoVerticalItem,6,0,37,0,0,1,0,0,0,4,0,1,1,0,1.5,0
SVGPathSegLinetoHorizontalItem,6,0,36,0,0,1,0,0,0,4,0,1,1,0,1.5,0
SVGPathSegMovetoLinetoItem,9,0,57,0,0,1,0,0,0,5,0,1,1,0,1.8,0
SVGPathSegCurvetoQuadraticSmoothItem,7,0,45,0,0,1,0,0,0,5,0,1,1,0,1.4,0
SVGPathSegCurvetoQuadraticItem,9,0,66,0,0,1,0,0,0,7,0,1,1,0,1.29,0
SVGPathSegCurvetoCubicSmoothItem,9,0,64,0,0,1,0,0,0,7,0,1,1,0,1.29,0
SVGPathSegCurvetoCubicItem,11,0,84,0,0,1,0,0,0,9,0,1,1,0,1.22,0
SVGPathSegArcItem,16,0,104,0,0,1,0,0,0,12,0,1,1,0,1.33,0
AbstractSVGNormPathSegList,2,1,314,0,0,3,1,0,0,2,1,0,0,0,1,0
AbstractSVGPathSegList,22,0,879,0,0,12,1,0,1,13,1,0,0,1,1.69,0
SVGNumberItem,6,0.5,45,0,0,1,0,0,1,5,0,0,0,2,1.2,0
AbstractSVGNumberList,12,0,181,0,0,4,1,0,1,13,1,0,0,1,0.92,0
SVGOMAngle,16,0.32,168,0,0,3,1,0,4,15,1,4,1,1,1.07,0
ListBuilder,5,0.5,47,0,0,1,1,0,2,5,1,7,7,1,1,0
AbstractSVGMatrix,25,0,252,0,0,2,0,0,2,25,0,6,0,0,1,0
SVGMotionAnimatableElement,0,1,8,0,0,0,0,0,0,1,0,1,1,0,0,0
SVGOMEvent,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
SVGContext,0,0,68,0,0,0,0,0,4,10,0,26,4,0,0,0
SVGDocumentFactory,0,0,27,0,0,0,0,0,0,3,0,2,1,0,0,0
ListHandler,0,0,22,0,0,0,0,0,0,3,0,47,6,0,0,0
SVGItem,0,0,26,0,0,0,0,0,0,3,0,16,7,0,0,0
AbstractSVGList,38,0.22,450,0,0,2,1,0,2,24,1,19,9,0,1.58,0
LiveAttributeValue,0,0,17,0,0,0,0,0,0,3,0,3,1,0,0,0
DOMCustomEvent,2,1,26,0,0,0,0,0,1,3,0,0,0,1,0.67,0
DOMMutationNameEvent,4,0.83,72,0,0,0,0,0,2,5,0,0,0,2,0.8,0
DOMEvent,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
KeyEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
CustomEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
TextEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
UIEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
KeyboardEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
MouseEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
MutationNameEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
MutationEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
SimpleEventFactory,1,1,8,0,0,1,0,0,0,2,0,0,0,0,0.5,0
DOMTextEvent,3,1,44,0,0,0,0,0,1,4,0,1,1,1,0.75,0
DOMKeyboardEvent,9,0.69,339,0,0,0,0,0,200,10,0,1,1,2,0.9,0
DOMUIEvent,10,0.5,92,0,0,1,0,0,2,6,0,6,3,2,1.67,0
DOMMouseEvent,20,0.44,240,0,0,1,0,0,7,15,0,3,3,6,1.33,0
AbstractEvent,32,0.06,330,0,0,0,0,0,14,29,0,27,10,18,1.1,0
EventListenerList,34,0.93,206,0,0,2,3,0,5,7,1,8,2,0,4.86,0
DOMTimeEvent,5,0.5,58,0,0,0,0,0,2,6,0,1,1,3,0.83,0
EventSupport,60,0.05,456,0,1,6,15,0,3,21,3,7,2,0,2.86,0
EventFactory,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0,0
DocumentEventSupport,3,1,268,0,0,1,1,0,14,3,1,3,3,0,1,0
NodeEventTarget,0,0,96,0,0,0,0,0,0,5,0,47,24,0,0,0
TextWholeTextTest,3,1,15,0,0,1,0,0,0,1,0,0,0,0,3,0
TextReplaceWholeTextTest,2,1,15,0,0,0,0,0,0,1,0,0,0,0,2,0
SerializationTest,6,1,75,0,0,4,0,0,3,2,0,0,0,0,3,0
ReplaceChildTest,7,1,67,0,0,6,0,2,5,2,0,0,0,0,3.5,0
RemoveAttributeTest,3,1,62,0,0,6,0,2,6,2,0,0,0,0,1.5,0
NullNamespaceTest,4,1,56,0,0,6,0,2,5,2,0,0,0,0,2,0
NodeTextContentTest,4,1,17,0,0,2,0,0,0,1,0,0,0,0,4,0
UserHandler,2,1,13,0,0,0,0,1,1,3,0,1,1,1,0.67,0
NodeGetUserDataTest,2,1,24,0,0,3,1,0,0,1,1,0,0,0,2,0
NodeCompareDocumentPositionTest,7,1,21,0,0,1,0,0,0,1,0,0,0,0,7,0
NodeBaseURITest,3,1,15,0,0,0,0,0,0,1,0,0,0,0,3,0
HasChildNodesTest,4,1,53,0,0,5,0,2,5,2,0,0,0,0,2,0
GetElementsByTagNameNSTest,5,1,54,0,0,5,0,0,3,2,0,0,0,1,2.5,0
Listener2,2,1,12,0,0,0,0,1,1,3,0,1,1,1,0.67,0
Listener1,2,1,11,0,0,0,0,1,1,3,0,1,1,1,0.67,0
EventTargetAddEventListenerNSTest,2,1,45,0,0,3,2,0,0,1,2,0,0,0,2,0
ElementTraversalTest,7,0,82,0,0,6,1,0,1,2,1,0,0,0,3.5,0
ElementSetIdAttributeNSTest,4,1,25,0,0,0,0,0,2,2,0,0,0,0,2,0
EcmaScriptDOMTest,1,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0
DOMUtilitiesCharacterEscaping,2,1,41,0,0,6,0,0,0,1,0,0,0,0,2,0
DocumentRenameNodeTest,4,1,14,0,0,1,0,0,0,1,0,0,0,0,4,0
Handler,8,1,26,0,0,0,0,3,3,3,0,1,1,0,2.67,0
DocumentNormalizeDocumentTest,42,1,213,0,0,3,0,0,0,1,0,0,0,0,42,0
DocumentAdoptNodeTest,2,1,11,0,0,0,0,0,0,1,0,0,0,0,2,0
CloneElementTest,6,1,62,0,0,4,0,0,3,2,0,0,0,0,3,0
AttrIsIdTest,1,1,10,0,0,0,0,0,0,1,0,0,0,0,1,0
GenericProcessingInstruction,12,0.04,115,0,0,0,0,0,2,12,0,0,0,3,1,0
GenericNotation,5,0.33,46,0,0,0,0,0,1,5,0,0,0,1,1,0
GenericEntityReference,5,0.33,40,0,0,0,0,0,1,5,0,0,0,1,1,0
GenericEntity,5,0.33,46,0,0,0,0,0,1,5,0,0,0,1,1,0
GenericDOMImplementation,7,0,63,0,0,3,0,0,1,4,0,0,0,0,1.75,0
GenericDocumentFragment,5,0.33,40,0,0,0,0,0,1,5,0,0,0,1,1,0
GenericDocument,23,0.01,161,0,0,10,0,0,2,16,0,0,0,1,1.44,0
GenericComment,5,0.33,41,0,0,0,0,0,1,5,0,0,0,1,1,0
GenericAttrNS,5,0.33,60,0,0,0,0,0,1,5,0,0,0,1,1,0
GenericAttr,5,0.33,47,0,0,0,0,0,1,5,0,0,0,1,1,0
DomExtension,0,0,46,0,0,0,0,0,0,6,0,2,1,0,0,0
AbstractProcessingInstruction,13,0.27,120,0,0,1,0,0,1,11,0,0,0,2,1.18,0
ChildNodes,46,0.93,252,0,0,2,0,0,4,7,0,5,1,1,6.57,0
1,2,0,4,0,0,0,0,0,0,2,0,0,0,1,1,0
ExtendedNode,0,0,43,0,0,0,0,0,0,8,0,7,3,0,0,0
AbstractElementNS,13,1,101,0,0,2,0,0,1,7,0,0,0,1,1.86,0
ElementTypeInfo,3,0,23,0,0,0,0,0,0,4,0,0,0,2,0.75,0
AbstractDocumentFragment,4,0.33,44,0,0,0,0,0,0,3,0,0,0,2,1.33,0
XPathNodeNSResolver,2,1,22,0,0,0,0,0,1,2,0,0,0,0,1,0
Result,25,0.78,190,0,0,1,0,0,7,14,0,0,0,2,1.79,0
NSPrefixResolver,6,0.17,38,0,0,1,1,0,0,5,1,0,0,1,1.2,0
XPathExpr,24,0,404,0,0,4,0,0,4,7,0,0,0,0,3.43,0
ParameterNameList,8,1,40,0,0,2,0,0,0,4,0,0,0,1,2,0
AbstractText,41,0.07,192,0,0,3,0,0,0,8,0,2,2,0,5.12,0
AbstractDOMImplementation,19,0.11,136,0,0,3,5,0,3,10,3,4,2,0,1.9,0
ElementsByTagNameNS,27,0.48,118,0,0,1,0,0,4,8,0,1,1,0,3.38,0
ElementsByTagName,19,0.67,95,0,0,1,0,0,3,7,0,1,1,0,2.71,0
DocumentConfiguration,24,0.3,237,0,0,3,2,0,6,6,2,1,1,0,4,0
AbstractComment,3,0,27,0,0,0,0,0,0,3,0,0,0,2,1,0
AbstractCharacterData,28,0.3,208,0,0,1,0,0,1,15,0,1,1,1,1.87,0
AbstractAttrNS,18,1,119,0,0,3,1,0,1,7,1,0,0,1,2.57,0
AttrTypeInfo,3,0,23,0,0,0,0,0,0,4,0,0,0,2,0.75,0
AbstractParentNode,70,0.14,930,0,1,7,4,0,1,22,2,14,13,0,3.18,0
StyleSheetFactory,0,1,8,0,0,0,0,0,0,1,0,1,1,0,0,0
StyleSheetProcessingInstruction,12,0.11,110,0,0,2,0,0,4,10,0,1,1,3,1.2,0
AbstractNode,225,0.08,1252,1,1,8,5,0,12,84,1,155,57,19,2.68,0
ElementFactory,0,1,6,0,0,0,0,0,0,1,0,3,3,0,0,0
ExtensibleDOMImplementation,28,0.08,233,0,0,12,1,0,4,10,1,3,3,0,2.8,0
AbstractStylableDocument,10,0.27,87,0,0,2,0,0,2,8,0,27,13,2,1.25,0
AbstractAttr,38,0.17,330,0,0,4,2,0,5,25,1,13,4,7,1.52,0
NamedNodeHashMap,53,0.14,294,0,1,5,6,0,3,16,3,0,0,1,3.31,0
AbstractDocument,327,0.07,2655,3,1,23,9,0,17,84,4,57,31,19,3.89,0
AbstractElement,139,0.24,1092,0,1,10,6,0,2,45,3,76,35,1,3.09,0
SystemColorSupport,2,1,83,0,0,2,0,0,1,2,0,0,0,0,1,0
SVG12CSSEngine,2,0,79,0,0,0,0,0,12,2,0,0,0,0,1,0
Messages,4,1,43,0,0,1,1,0,2,4,1,0,0,0,1,0
DocumentAdapter,16,0,127,0,0,0,0,0,0,16,0,0,0,0,1,0
2,3,1,18,0,0,4,2,0,0,1,1,0,0,0,3,0
Rule,0,0,13,0,0,0,0,0,0,2,0,4,2,0,0,0
1,3,1,19,0,0,4,2,0,0,1,1,0,0,0,3,0
DOMCharacterDataModifiedListener,1,1,5,0,0,1,0,0,0,2,0,0,0,0,0.5,0
DOMSubtreeModifiedListener,1,1,5,0,0,1,0,0,0,2,0,0,0,0,0.5,0
DOMNodeRemovedListener,1,1,5,0,0,1,0,0,0,2,0,0,0,0,0.5,0
DOMNodeInsertedListener,1,1,5,0,0,1,0,0,0,2,0,0,0,0,0.5,0
DOMAttrModifiedListener,1,1,10,0,0,1,0,0,0,2,0,0,0,0,0.5,0
CSSNavigableDocumentHandler,20,0.03,143,0,0,5,3,0,2,10,3,0,0,0,2,0
StyleDeclarationBuilder,3,1,28,0,0,4,2,1,1,1,1,0,0,0,3,0
StyleSheetDocumentHandler,18,0.21,163,0,0,12,14,1,3,13,7,0,0,0,1.38,0
StyleDeclarationUpdateHandler,4,1,40,0,0,4,2,2,2,2,1,0,0,0,2,0
StyleDeclarationDocumentHandler,3,1,29,0,0,4,2,1,1,1,1,0,0,0,3,0
StringIntMap,13,1,119,0,0,1,4,0,2,4,1,3,1,0,3.25,0
CSSEngineUserAgent,0,0,13,0,0,0,0,0,0,2,0,11,1,0,0,0
CSSEngineListener,0,1,7,0,0,0,0,0,0,1,0,1,1,0,0,0
SVGCSSEngine,5,0,285,0,0,0,0,0,63,5,0,0,0,0,1,0
CSSEngineEvent,3,0,35,0,0,0,0,0,2,3,0,3,3,2,1,0
StyleDeclaration,14,0.71,133,0,0,1,0,0,5,9,0,17,7,3,1.56,0
MainPropertyReceiver,0,1,7,0,0,0,0,0,0,1,0,1,1,0,0,0
StyleDeclarationProvider,0,0,12,0,0,0,0,0,0,2,0,4,2,0,0,0
StyleMap,43,0.69,292,0,0,1,0,0,21,30,0,26,14,4,1.43,0
CSSStyleSheetNode,0,1,8,0,0,0,0,0,0,1,0,2,1,0,0,0
CSSStylableElement,0,0,39,0,0,0,0,0,0,7,0,17,7,0,0,0
CSSNavigableDocument,0,0,14,0,0,0,0,0,0,2,0,2,1,0,0,0
CSSNavigableDocumentListener,0,0,46,0,0,0,0,0,0,8,0,8,6,0,0,0
CSSContext,0,0,81,0,0,0,0,0,0,13,0,8,6,0,0,0
CSSEngine,320,0.1,2562,5,1,40,22,0,45,63,11,113,62,14,5.08,0
CSSNavigableNode,0,0,33,0,0,0,0,0,0,6,0,4,1,0,0,0
UtilitiesTestSuite,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SyncThread,2,1,22,0,0,1,1,2,2,2,1,0,0,0,1,0
TestMessages,4,1,42,0,0,1,1,0,2,4,1,0,0,0,1,0
RQRable,2,1,20,0,0,0,0,2,2,2,0,0,0,0,1,0
ThreadPounder,5,0,79,0,0,1,0,3,3,4,0,1,1,0,1.25,0
SwitchFlicker,4,1,28,0,0,2,2,0,0,2,1,0,0,0,2,0
ParsedURLTest,7,0,101,0,0,4,1,0,6,4,1,0,0,0,1.75,0
ParsedURLDataTest,6,0,107,0,0,4,1,0,5,3,1,0,0,0,2,0
Base64TestCases,31,0,147,0,0,3,0,0,0,29,0,0,0,0,1.07,0
StreamCopier,4,1,29,0,0,0,0,2,2,2,0,0,0,0,2,0
Base64Test,43,0.33,305,1,0,6,1,0,8,5,1,0,0,0,8.6,0
XMLResourceDescriptor,8,0.2,102,0,0,0,0,0,6,5,0,0,0,0,1.6,0
SVGTypes,0,0,55,0,0,0,0,0,51,0,0,0,0,0,0,0
SVGFeatureStrings,1,1,74,0,0,1,0,0,0,1,0,0,0,0,1,0
SVG12CSSConstants,0,0,34,0,0,0,0,0,14,0,0,0,0,0,0,0
SVG12Constants,0,0,105,0,0,0,0,0,25,0,0,0,0,0,0,0
SoftRefKey,5,1,27,0,0,1,1,1,1,2,1,0,0,0,2.5,0
Service,11,1,118,1,0,0,0,1,1,1,0,0,0,0,11,0
LockableLink,5,1,46,0,0,0,0,0,1,4,0,2,1,0,1.25,0
Link,2,1,20,0,0,0,0,0,1,2,0,1,1,0,1,0
RunnableQueueState,3,1,12,0,0,0,0,0,1,3,0,0,0,1,1,0
Platform,2,1,22,0,0,0,0,1,1,1,0,0,0,0,2,0
