Name,WMC,TCC,LOCC,NBM,GOD LASS,CBO,ATFD,NOAP,NOA,NOM,FDP,CM,CC,NOAM,AMW,Brainlass
AdditionalJmxObjects,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
BecomeServerTestHelper,6,0,27,0,0,0,0,0,0,3,0,0,0,0,2,0
SendUnicast,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0
ServerTestHelper,4,0,17,0,0,0,0,0,0,4,0,0,0,0,1,0
ConcurrentCloseTest,2,1,64,0,0,2,2,2,2,2,2,0,0,0,1,0
Closer,2,1,20,0,0,0,0,0,2,2,0,0,0,0,1,0
MyReceiver,3,1,15,0,0,0,0,0,1,3,0,0,0,0,1,0
ConcurrentFlushTest,10,0.36,227,0,0,2,2,0,3,8,2,0,0,0,1.25,0
Listener,8,0.6,37,0,0,0,0,7,7,6,0,0,0,1,1.33,0
EventSequence,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
Flusher,4,1,34,0,0,0,0,0,4,2,0,0,0,0,2,0
ThreadFactoryTest,3,1,54,0,0,2,2,0,4,3,1,0,0,0,1,0
MyRunnable,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0.5,0
BitmapTest,3,0,24,0,0,1,1,0,0,2,1,0,0,0,1.5,0
BitsTest,66,0.03,402,0,0,2,0,0,0,46,0,0,0,0,1.43,0
ByteArrayTest,1,1,22,0,0,1,0,0,1,1,0,0,0,0,1,0
ByteBufferOutputStreamTest,2,1,22,0,0,2,2,0,0,1,2,0,0,0,2,0
ClassConfiguratorTest,1,1,21,0,0,0,0,0,1,1,0,0,0,0,1,0
MyProtocol,1,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0
CompositeMessageTest,10,0.48,83,0,0,2,4,0,6,7,2,0,0,0,1.43,0
MessageTestBase,7,0,113,0,0,0,0,0,3,6,0,0,0,0,1.17,0
ConnectStressTest,14,0.4,96,0,0,1,0,0,4,5,0,0,0,0,2.8,0
MyThread,2,1,19,0,0,0,0,0,2,2,0,0,0,0,1,0
CustomProtocolTest,1,1,18,0,0,1,1,0,0,1,1,0,0,0,1,0
DiscoveryTest,9,0.4,57,0,0,1,1,0,4,6,1,0,0,0,1.5,0
DynamicDiscardTest,2,1,62,0,0,6,11,0,1,1,6,0,0,0,2,0
MyRequestHandler,1,1,7,0,0,0,0,0,0,2,0,0,0,0,0.5,0
MyMembershipListener,2,1,11,0,0,0,0,0,1,2,0,0,0,0,1,0
0SuspicionTest,8,0.3,65,0,0,0,0,0,3,5,0,0,0,0,1.6,0
InterruptTest,9,0,179,0,0,1,1,0,5,5,1,0,0,0,1.8,0
LazyThreadFactoryTest,4,1,43,0,0,0,0,0,2,2,0,0,0,0,2,0
LeaveTest,3,0,23,0,0,0,0,0,0,3,0,0,0,0,1,0
LongMessageTest,5,0,35,0,0,0,0,0,0,5,0,0,0,0,1,0
MembershipTest,16,0.71,173,0,0,0,0,9,9,14,0,0,0,0,1.14,0
MergeTest5,11,0.14,98,0,0,0,0,0,3,7,0,0,0,0,1.57,0
