,Name,CM,CC,CINT,MAXNESTING,NOAV,CYCLO,LOC,ATFD,FDP,LAA,label
24842,previous,0,0,0,1,4,2,7,1,1,0.8,0
24843,createRendering,0,0,1,3,18,10,75,1,1,0.8,1
24844,addRedrawSuspension,1,1,1,1,6,2,12,1,1,0.8,0
24845,getUnderlyingCSSValue,1,1,7,2,14,6,26,1,1,0.8,0
24846,getNode,2,2,8,2,13,10,47,2,2,0.8,0
24847,EventListenerMememto,1,1,0,0,11,1,7,1,1,0.8,0
24848,BridgeException,82,43,2,1,8,3,9,1,1,0.8,0
24849,createGlyphVector,0,0,4,3,10,4,22,1,1,0.8,0
24850,checkEnclosure,0,0,4,3,12,10,42,1,1,0.8,0
24851,dispose,0,0,2,1,7,4,28,1,1,0.8,0
24852,runImpl,0,0,10,4,54,26,190,2,1,0.8,1
24853,NodeRenderer,1,1,1,0,6,1,11,1,1,0.8,0
24854,NodeCSSValuesModel,1,1,0,3,6,4,13,2,1,0.8,0
24855,printNewline,1,1,1,1,6,2,8,1,1,0.8,0
24856,setImageCacher,0,0,2,1,3,4,16,1,1,0.8,0
24857,toSVG,1,1,0,3,10,4,23,1,1,0.8,0
24858,toSVG,1,1,0,3,8,5,24,1,1,0.8,0
24859,toSVG,1,1,2,3,7,4,20,1,1,0.8,0
24860,transcode,0,0,10,4,20,8,93,1,1,0.8,1
24861,addObject,1,1,0,2,9,3,16,1,1,0.8,0
24862,read,0,0,1,2,20,7,56,2,1,0.8,0
24863,addObjectAt,0,0,1,2,8,5,14,1,1,0.8,0
24864,TurbulencePatternRed,1,1,0,2,41,15,117,6,1,0.79,1
24865,dispose,4,3,0,1,18,12,54,4,1,0.79,0
24866,revalidate,1,1,1,3,8,8,34,3,2,0.79,0
24867,revalidate,1,1,1,3,8,8,34,3,2,0.79,0
24868,renameNode,3,3,7,3,45,39,209,4,2,0.78,1
24869,removeDOMListeners,0,0,6,1,10,2,26,2,1,0.78,0
24870,handleCSSEngineEvent,1,1,2,1,23,3,38,2,1,0.78,0
24871,handleChildElementRemoved,0,0,5,4,10,7,28,2,1,0.78,0
24872,changeStarted,0,0,5,2,12,11,55,2,2,0.78,0
24873,removeDOMListeners,0,0,6,1,10,2,30,2,1,0.78,0
24874,updateLineMetrics,0,0,4,1,12,4,10,2,1,0.78,0
