Name,LOC,CYCLO,MAXNESTING,NOAV,ATFD,LAA,FDP,BrainMethod
getName,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getScopeName,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
RuntimeMacro,7,2,1,1,0,1,0,0
getType,3,1,0,0,0,1,0,0
getScopeName,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
isScopeProvided,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
isScopeProvided,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
getName,0,0,0,0,0,1,0,0
isScopeProvided,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
isScopeProvided,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
getScopeName,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
BlockMacro,3,1,0,0,0,1,0,0
isScopeProvided,3,1,0,0,0,1,0,0
getScopeName,3,1,0,0,0,1,0,0
getTemplateName,3,1,0,0,0,1,0,0
getColumn,3,1,0,0,0,1,0,0
getLine,3,1,0,0,0,1,0,0
setLocation,4,1,0,2,0,1,0,0
setLocation,4,1,0,0,0,1,0,0
getType,0,0,0,0,0,1,0,0
getName,0,0,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
VmParserVisitorAdapter,0,0,0,0,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,4,1,0,2,0,1,0,0
lexicalError,6,2,1,2,0,1,0,0
addEscapes,44,13,3,5,0,1,0,0
TokenMgrError,3,1,0,6,0,1,0,0
TokenMgrError,4,1,0,0,0,1,0,0
TokenMgrError,3,1,0,0,0,1,0,0
appendTemplateInfo,4,1,0,2,0,1,0,0
getMessage,58,10,2,7,0,1,0,0
getColumnNumber,7,3,1,0,0,1,0,0
getLineNumber,7,3,1,0,0,1,0,0
getTemplateName,3,1,0,0,0,1,0,0
TemplateParseException,4,1,0,0,0,1,0,0
TemplateParseException,4,1,0,0,0,1,0,0
TemplateParseException,5,1,0,0,0,1,0,0
TemplateParseException,5,1,0,0,0,1,0,0
tokenLiteral,14,5,3,2,0,1,0,0
getSpecialText,64,12,6,6,0,1,0,0
NodeUtils,1,1,0,0,0,1,0,0
appendTemplateInfo,4,1,0,2,0,1,0,0
getMessage,5,1,0,1,0,1,0,0
getColumnNumber,9,4,2,0,0,1,0,0
getLineNumber,9,4,2,0,0,1,0,0
getTemplateName,3,1,0,0,0,1,0,0
MacroParseException,5,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTSubtractNode,3,1,0,0,0,1,0,0
ASTSubtractNode,3,1,0,0,0,1,0,0
isConstant,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
unescape,29,4,2,5,0,1,0,0
adjTokenLineNums,20,5,2,1,0,1,0,0
ASTStringLiteral,3,1,0,0,0,1,0,0
ASTStringLiteral,3,1,0,0,0,1,0,0
literal,9,2,1,0,0,1,0,0
setLiteral,9,2,1,0,0,1,0,0
getRootString,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTReference,3,1,0,0,0,1,0,0
ASTReference,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTMulNode,3,1,0,0,0,1,0,0
ASTMulNode,3,1,0,0,0,1,0,0
